eps11,eps22,eps33,eps12,eps13,eps23,sig11,sig22,sig33,sig12,sig13,sig23,loading_case
0.59085727,-0.16526149,-0.16523926,1.31E-016,-3.44E-016,-0.00000000221,582.26,75.10452,75.23589,-0.00000000000047,0.00000000000081,0.00000000137,1
0.59098756,-0.16528277,-0.16526121,-1.37E-016,-6.58E-017,0.000000000113,582.3831,75.12547,75.259224,0.000000000000449,0.000000000000114,0.00000000273,1
0.5911599,-0.16530395,-0.16528763,-1.76E-016,-1.7E-017,0.000000000802,582.5631,75.16336,75.29875,0.000000000000557,0.0000000000000323,-0.00000000462,1
0.5914288,-0.16533963,-0.16532615,-1.66E-016,-1.05E-015,0.000000000333,582.7989,75.21948,75.35616,0.000000000000505,0.00000000000264,0.0000000017,1
0.5918574,-0.16540498,-0.1653896,7.98E-017,1.85E-015,0.00000000084,583.18524,75.30405,75.438805,-0.000000000000197,-0.00000000000466,-0.00000000279,1
0.5924436,-0.16549626,-0.16548082,1.15E-015,1.43E-015,0.00000000252,583.7852,75.427826,75.565094,-0.00000000000361,-0.00000000000341,0.00000000684,1
0.59334654,-0.16562556,-0.16560522,-8.78E-016,-2.15E-015,0.0000000041,584.68536,75.61684,75.75214,0.00000000000241,0.00000000000588,-0.0000000041,1
0.5947129,-0.16582327,-0.16580725,-0.000000000000015,0.0000000000000255,-0.00000000474,586.0087,75.895584,76.03144,0.0000000000485,-0.000000000066,-0.0000000131,1
0.5967545,-0.1661303,-0.16610722,0.0000000000000641,-2.92E-016,0.00000000723,588.01843,76.31942,76.45535,-0.000000000212,0.00000000000179,0.000000000193,1
0.59978056,-0.16658083,-0.1665641,0.0000000000000553,0.0000000000000847,0.00000000179,591.0035,76.9452,77.083755,-0.000000000181,-0.000000000214,-0.00000000666,1
0.60438037,-0.16726348,-0.16723664,-0.0000000000000663,-0.0000000000000565,-0.00000000169,595.4965,77.88673,78.02597,0.000000000209,0.000000000164,0.00000000537,1
0.61124617,-0.16827722,-0.16824634,0.000000000000226,0.0000000000000979,-0.00000000316,602.2259,79.282074,79.42546,-0.000000000733,-0.000000000192,0.00000000519,1
0.62154436,-0.16981691,-0.16977859,0.000000000000796,0.000000000000156,0.00000000215,612.33453,81.356094,81.499855,-0.0000000026,-0.000000000398,0.00000000667,1
0.63700104,-0.17210746,-0.17207058,0.000000000000456,0.00000000000128,-0.00000000343,627.4856,84.41047,84.55549,-0.0000000016,-0.00000000312,-0.0000000046,1
0.6601876,-0.17556235,-0.17551291,0.000000000000291,0.0000000000005,-0.000000000921,650.23883,88.87069,89.0193,-0.00000000095,-0.00000000114,0.0000000251,1
0.69499743,-0.18075335,-0.1806955,0.00000000000635,0.00000000000233,-0.00000000584,684.4243,95.29439,95.44795,-0.0000000187,-0.00000000468,-0.00000000865,1
0.70988905,-0.18299577,-0.18291888,-0.00000000000395,-0.000000000000617,0.0000000142,699.0837,97.94853,98.10789,0.0000000117,0.00000000173,-0.0000000905,1
0.73011273,-0.18722847,-0.18714984,5.29E-017,3.6E-016,-0.00000000112,702.02264,100.74886,100.90761,-0.000000000000181,-0.000000000000679,-0.0000000105,1
0.7302508,-0.18724288,-0.18716228,-2.66E-016,2.98E-017,-0.000000000966,702.14874,100.77487,100.93437,0.000000000000672,-0.0000000000000773,-0.00000000768,1
0.7304384,-0.187268,-0.18718508,-8.56E-017,-9.66E-017,-0.000000000342,702.3434,100.81629,100.97495,0.000000000000111,0.000000000000145,-0.00000000797,1
0.7307111,-0.18729974,-0.18722413,-4.19E-016,8.42E-016,0.0000000000126,702.6393,100.878845,101.03484,0.00000000000111,-0.00000000000162,-0.0000000117,1
0.73115,-0.18735023,-0.18728724,-1.77E-015,1.47E-015,-0.00000000137,703.07056,100.97159,101.12824,0.00000000000444,-0.00000000000284,0.00000000838,1
0.73180896,-0.18743491,-0.18736151,5.27E-015,-1.13E-015,-0.00000000628,703.72076,101.11183,101.26784,-0.0000000000129,0.0000000000025,0.0000000103,1
0.7327797,-0.18756665,-0.18748608,-0.0000000000000115,-5.41E-016,-0.00000000329,704.6953,101.31983,101.47888,0.0000000000279,0.000000000000844,0.00000000363,1
0.7342556,-0.18774255,-0.18766826,-0.0000000000000164,-1.81E-015,-0.00000000203,706.172,101.634735,101.78863,0.0000000000408,0.00000000000192,-0.00000000297,1
0.7364586,-0.1880185,-0.18794541,-0.0000000000000294,-0.0000000000000631,0.000000000244,708.3522,102.0995,102.26089,0.0000000000717,0.000000000122,0.0000000178,1
0.7397554,-0.18843818,-0.18835258,-0.0000000000000362,-0.0000000000000672,-0.00000000482,711.66016,102.80237,102.96077,0.0000000000882,0.000000000134,0.00000000661,1
0.74468404,-0.18905322,-0.18897794,-0.0000000000000388,-0.000000000000158,-0.000000000619,716.6071,103.84964,104.00725,0.0000000000892,0.000000000298,0.0000000139,1
0.7521078,-0.18998578,-0.18990123,-0.0000000000000934,0.000000000000386,0.000000000101,724.02545,105.40713,105.56863,0.000000000213,-0.000000000763,0.000000017,1
0.7632116,-0.19139327,-0.19129613,0.00000000000027,0.00000000000115,0.0000000145,735.1379,107.72157,107.88168,-0.000000000673,-0.0000000021,0.00000000512,1
0.7799332,-0.19350173,-0.19339103,0.000000000000117,-0.00000000000442,-0.00000000201,751.8638,111.142914,111.30371,-0.000000000255,0.00000000812,-0.000000029,1
0.8049425,-0.19666657,-0.19654512,-0.000000000000684,-0.00000000000454,0.00000000524,776.97736,116.152885,116.32448,0.00000000153,0.00000000819,0.0000000239,1
0.84247154,-0.20144825,-0.2012822,-0.00000000000807,-0.0000000000068,-0.00000000734,814.73425,123.409294,123.58273,0.000000018,0.0000000116,0.0000000404,1
